ZONA;NOM_LOCALIDADE;NOM_LOCAL;ENDEREÇO_LOCAL;BAIRRO_LOCAL;CEP;NÚMERO DAS SEÇÕES;QTDE. DE SEÇÕES;APTOS
155;FEIRA DE SANTANA;ESCOLA MUNICIPAL DOIS DE JULHO;RUA MARTINIANO FREIRE, S/N - ZONA RURAL;DISTRITO DE JAÍBA;44100000;252,253;2;438
156;FEIRA DE SANTANA;COLÉGIO ESTADUAL DE MARIA QUITÉRIA;ESTRADA DE  MARIA QUITÉRIA, S/N - ZONA RURAL;DISTRITO DE MARIA QUITÉRIA;44110000;1,2,3,4,5,6,7,8,9,20,22,91,249;13;4624
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL DR. FRANCISCO MARTINS DA SILVA;AV PÉ DE SERRA, S/N, SEDE - ZONA RURAL;DISTRITO DE MARIA QUITÉRIA;44110000;10,11,12,13,14,15,16,23,87,93;10;2430
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL JOSÉ TAVARES CARNEIRO;RUA NOSSA SENHORA DA CONCEIÇÃO, 41, SEDE - ZONA RURAL;DISTRITO DE MARIA QUITÉRIA;44110000;17,18,19,21,84,92,271,282;8;2998
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL DR. COLBERT MARTINS DA SILVA;RUA PADRE CARLOS OLÍMPIO, S/N, SEDE - ZONA RURAL;DISTRITO DE JAGUARA;44125000;39,40,41,42,121,122,135,141;8;2192
156;FEIRA DE SANTANA;COLÉGIO ESTADUAL DE JAGUARA;PRAÇA DA MATRIZ, S/N - ZONA RURAL;DISTRITO DE JAGUARA;44125000;43,44,45,46;4;947
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL ÁLVARO PEREIRA BOAVENTURA;RUA SαSTENES DE CARVALHO, S/N, SEDE - ZONA RURAL;DISTRITO BONFIM DE FEIRA;44120000;65,66,67,68,69,70,71,72,73,102,103,104,133;13;3058
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL DEOCLECIANO MARTINS DA SILVA;POVOADO PÉ DE SERRA, S/N - ZONA RURAL;DISTRITO DE MARIA QUITÉRIA;44110000;112,137,226,257,403;5;1857
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL ANTΓNIO CARNEIRO LAGO;POVOADO MORRINHOS - ZONA RURAL;DISTRITO DE JAGUARA;44125000;123,124;2;492
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL FIRMINO JOSÉ DE BRITO;FAZENDA MALHADOR - ZONA RURAL;DISTRITO DE JAGUARA;44125000;131,23;2;599
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL MARTINIANO DA SILVA CARNEIRO;BR 324, KM 20, POSTO TREVO, ENTRONCAMENTO TANQUINHO - ZONA RURAL;CIS NORTE;44031460;126;1;332
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL REVERENDO SEVERINO SOARES;RUA ESCALADA, N. 37 - ZONA URBANA;GABRIELA;44028312;175,176,177,178,179,180,268,286;8;3338
156;FEIRA DE SANTANA;COLÉGIO ESTADUAL EDITH MACHADO BOAVENTURA;AV. PRIMAVERA, 2770 - ZONA URBANA;PAMPALONA;44034020;181,182,183,184,185,186,187,188,189,190,191,192,225,228,234,236,238,270,280,303;20;7493
156;FEIRA DE SANTANA;COLÉGIO ESTADUAL DA POLÍCIA MILITAR - CPM DIVA PORTELA;RUA TRÊS PODERES, S/N - ZONA URBANA;CAMPO LIMPO;44023000;193,194,195,196,197,198,199,200,201,202,203,204,205,224,251,253,255,261;18;6591
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL DR. NOIDE CERQUEIRA;RUA SENAI, S/N - ZONA URBANA;CAMPO LIMPO;44032352;206,207,208,209,210,211;6;2321
156;FEIRA DE SANTANA;SENAI - FEIRA DE SANTANA;AV. EDUARDO FRαES DA MOTA, 5000 - ZONA URBANA;CAMPO LIMPO;44032002;212,213,214,215,216,217,269,409,415,421,426,429,433,438,442,449;16;5792
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL PROFESSORA  FRANCY SILVA BARBOSA;RUA MONSENHOR MOISÉS DE COUTO, 3348 - ZONA URBANA;CAMPO LIMPO;44021090;218,219,220,221,222,223;6;1311
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL DR. RÚBENS CARVALHO;RUA HERÁCLITO DE CARVALHO, S/N - ZONA URBANA;PAMPALONA;44022170;245,256,285,291,296,412;6;2350
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL JANETE GOMES MEDEIROS;RUA LARANJEIRAS DO SUL, 32, LOTEAMENTO JARDIM ROMANO  - ZONA URBANA;CAMPO LIMPO;44033283;248,281,295,394,406,453;6;2512
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL NORMA SUELY MASCARENHAS;RUA B (VASP), S/N, CJ. GEORGE AMERICO - ZONA URBANA;CAMPO LIMPO;44033061;244,259,266,283,288,293,299,398;8;3363
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL CHICO MENDES;PRAÇA CENTENÁRIO, S/N - ZONA URBANA;CAMPO LIMPO;44021090;247,258,277,287,289,294,297,298,389,395;10;4230
156;FEIRA DE SANTANA;CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PAULINO MARTINS DOS SANTOS;PRIMEIRA TRAVESSA ARTHUR DE FREITAS - ZONA RURAL;DISTRITO DE MARIA QUITÉRIA;44110000;119,128,243,272,444,446;6;1959
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL ANTΓNIO ALVES OLIVEIRA;RUA AVARÉ, S/N - ZONA URBANA;ASA BRANCA;44021510;113,252,267,300,301,404,423,432,440,454;10;4012
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL ACIOLY DA SILVA ARAÚJO;RUA CONDOR, S/N, FEIRA X - ZONA URBANA;MUCHILA;44005686;305,306,307,391,405,418,425,435,441;9;3415
156;FEIRA DE SANTANA;CENTRO JUVENIL DE CIÊNCIA E CULTURA;AVENIDA RIO DE JANEIRO, N 156 - ZONA URBANA;PEDRA DO DESCANSO;44007112;308,400,413,416,420,428;6;2521
156;FEIRA DE SANTANA;COLÉGIO ESTADUAL HELENA ASSIS SUZART;RUA A, S/N, FEIRA X - ZONA URBANA;MUCHILA;44006170;309,310,311,312,313,314;6;2534
